Stock Hydraulique 2020,
,
Semaine,Stock (MWh)
1,2780215
2,2742325
3,2652974
4,2426891
5,2194236
6,2214084
7,2174132
8,2116585
9,2008603
10,1864482
11,1816423
12,1779274
13,1763973
14,1614814
15,1513412
16,1551504
17,1670557
18,1740867
19,1977501
20,2184713
21,2355412
22,2576537
23,2698730
24,2775806
25,2837466
26,2854415
27,2972388
28,3064947
29,3087938
30,3088372
31,3100546
32,3062108
33,3013309
34,2986398
35,2955316
36,2975651
37,2929369
38,2855432
39,2821249
40,2801270
41,2964842
42,3019708
43,2956736
44,3041148
45,3088786
46,3035130
47,3012185
48,2929262
49,2674858
50,2521048
51,2454326
52,2473628
53,2532396
