Semaine,Volume (MWh),Année
,,2021
Semaine,Stock (MWh),2021
1,2407326,2021
2,2081829,2021
3,1924342,2021
4,1772556,2021
5,1859154,2021
6,1726279,2021
7,1533892,2021
8,1515570,2021
9,1386764,2021
10,1176034,2021
11,1154107,2021
12,994654,2021
13,961615,2021
14,998746,2021
15,917246,2021
16,874649,2021
17,940614,2021
18,1047965,2021
19,1231647,2021
20,1413451,2021
21,1509465,2021
22,1628356,2021
23,1803076,2021
24,2002076,2021
25,2183321,2021
26,2310252,2021
27,2349488,2021
28,2463983,2021
29,2538196,2021
30,2549423,2021
31,2607829,2021
32,2658935,2021
33,2655591,2021
34,2612909,2021
35,2537592,2021
36,2471418,2021
37,2394175,2021
38,2361161,2021
39,2330764,2021
40,2373290,2021
41,2385992,2021
42,2356588,2021
43,2291919,2021
44,2349925,2021
45,2344289,2021
46,2216776,2021
47,2119853,2021
48,2024972,2021
49,2059628,2021
50,2010670,2021
51,1928190,2021
52,2029801,2021
,,2015
Semaine,Stock (MWh),2015
1,2737368,2015
2,2648112,2015
3,2622624,2015
4,2456362,2015
5,2289749,2015
6,2121193,2015
7,1832396,2015
8,1642339,2015
9,1498497,2015
10,1632116,2015
11,1314307,2015
12,1211849,2015
13,1111858,2015
14,1112498,2015
15,1120162,2015
16,1134908,2015
17,1191820,2015
18,1254809,2015
19,1518660,2015
20,1720675,2015
21,1917460,2015
22,1916174,2015
23,2052323,2015
24,2229232,2015
25,2405020,2015
26,2498453,2015
27,2492731,2015
28,2532015,2015
29,2555627,2015
30,2543616,2015
31,2573500,2015
32,2610486,2015
33,2638154,2015
34,2683473,2015
35,2707234,2015
36,2670356,2015
37,2656060,2015
38,2653075,2015
39,2680678,2015
40,2644538,2015
41,2621532,2015
42,2591506,2015
43,2493778,2015
44,2409220,2015
45,2394525,2015
46,2392543,2015
47,2344375,2015
48,2287176,2015
49,2249053,2015
50,2214811,2015
51,2108071,2015
52,2064510,2015
53,2031601,2015
,,2017
Semaine,Stock (MWh),2017
1,1731080,2017
2,1506079,2017
3,1352500,2017
4,988159,2017
5,907065,2017
6,971170,2017
7,937230,2017
8,935748,2017
9,843774,2017
10,856354,2017
11,873142,2017
12,851557,2017
13,841629,2017
14,839510,2017
15,858713,2017
16,872913,2017
17,909507,2017
18,926378,2017
19,1016298,2017
20,1169199,2017
21,1337825,2017
22,1648732,2017
23,1907481,2017
24,2069304,2017
25,2246981,2017
26,2376558,2017
27,2453834,2017
28,2469901,2017
29,2472334,2017
30,2515875,2017
31,2534378,2017
32,2550592,2017
33,2543603,2017
34,2523198,2017
35,2493281,2017
36,2483308,2017
37,2446898,2017
38,2416702,2017
39,2356294,2017
40,2309797,2017
41,2246056,2017
42,2208835,2017
43,2184170,2017
44,2160397,2017
45,2079340,2017
46,1987997,2017
47,1861449,2017
48,1786793,2017
49,1535027,2017
50,1497896,2017
51,1464078,2017
52,1493019,2017
,,2016
Semaine,Stock (MWh),2016
1,1978425,2016
2,2042176,2016
3,1893646,2016
4,1812965,2016
5,1808771,2016
6,1748370,2016
7,1645290,2016
8,1523088,2016
9,1368108,2016
10,1308303,2016
11,1165647,2016
12,1032395,2016
13,993525,2016
14,1023632,2016
15,1039776,2016
16,1087120,2016
17,1079049,2016
18,1078797,2016
19,1190531,2016
20,1355507,2016
21,1498294,2016
22,1723111,2016
23,1902719,2016
24,2131614,2016
25,2271954,2016
26,2424740,2016
27,2595652,2016
28,2689942,2016
29,2746988,2016
30,2774693,2016
31,2815144,2016
32,2845905,2016
33,2843018,2016
34,2826938,2016
35,2746637,2016
36,2675879,2016
37,2580900,2016
38,2606349,2016
39,2512710,2016
40,2454430,2016
41,2321294,2016
42,2262240,2016
43,2211351,2016
44,2271496,2016
45,2313148,2016
46,2333679,2016
47,2455207,2016
48,2486202,2016
49,2388603,2016
50,2256174,2016
51,2066183,2016
52,1978452,2016
,,2018
Semaine,Stock (MWh),2018
1,1577489,2018
2,1719409,2018
3,1660658,2018
4,1704964,2018
5,1639471,2018
6,1416974,2018
7,1194343,2018
8,1101070,2018
9,812004,2018
10,665128,2018
11,703526,2018
12,643391,2018
13,586044,2018
14,597380,2018
15,616931,2018
16,642271,2018
17,811033,2018
18,1002365,2018
19,1101932,2018
20,1327826,2018
21,1497111,2018
22,1791003,2018
23,2062657,2018
24,2343672,2018
25,2562038,2018
26,2685251,2018
27,2829080,2018
28,2807415,2018
29,2788177,2018
30,2800440,2018
31,2817640,2018
32,2837239,2018
33,2869444,2018
34,2837907,2018
35,2778684,2018
36,2718547,2018
37,2678886,2018
38,2632172,2018
39,2588940,2018
40,2533385,2018
41,2476781,2018
42,2504641,2018
43,2474033,2018
44,2418967,2018
45,2457273,2018
46,2472229,2018
47,2331922,2018
48,2227100,2018
49,2232914,2018
50,2230364,2018
51,2085932,2018
52,2164121,2018
,,2020
Semaine,Stock (MWh),2020
1,2780215,2020
2,2742325,2020
3,2652974,2020
4,2426891,2020
5,2194236,2020
6,2214084,2020
7,2174132,2020
8,2116585,2020
9,2008603,2020
10,1864482,2020
11,1816423,2020
12,1779274,2020
13,1763973,2020
14,1614814,2020
15,1513412,2020
16,1551504,2020
17,1670557,2020
18,1740867,2020
19,1977501,2020
20,2184713,2020
21,2355412,2020
22,2576537,2020
23,2698730,2020
24,2775806,2020
25,2837466,2020
26,2854415,2020
27,2972388,2020
28,3064947,2020
29,3087938,2020
30,3088372,2020
31,3100546,2020
32,3062108,2020
33,3013309,2020
34,2986398,2020
35,2955316,2020
36,2975651,2020
37,2929369,2020
38,2855432,2020
39,2821249,2020
40,2801270,2020
41,2964842,2020
42,3019708,2020
43,2956736,2020
44,3041148,2020
45,3088786,2020
46,3035130,2020
47,3012185,2020
48,2929262,2020
49,2674858,2020
50,2521048,2020
51,2454326,2020
52,2473628,2020
